"ACTION";"TYPE D'OBJET";"CODE CARACTERISTIQUE";"SOURCE";"NOM";"NOM D'AFFICHAGE";"UNITE DE MESURE";"TYPE D'ATTRIBUT"
"CREATE";"Attribute";"reference";"SID";"Reference";"Reference";;"string"
"CREATE";"Attribute";"titre";"SID";"Titre";"Titre";;"string"
"CREATE";"Attribute";"title";"SID";"Title";"Title";;"string"
"CREATE";"Attribute";"auteur";"SID";"Auteur";"Auteur";;"string"
"CREATE";"Attribute";"designation";"SID";"Designation";"Designation";;"string"
"CREATE";"Attribute";"libelle";"SID";"Libelle";"Libelle";;"string"
"CREATE";"Attribute";"description";"SID";"Description";"Description";;"string"
"CREATE";"Attribute";"code de nomenclature";"SID";"Code de nomenclature";"Code de nomenclature";;"string"
"CREATE";"Attribute";"date de creation";"SID";"Date de creation";"Date de creation";;"string"
"CREATE";"Attribute";"date de modification";"SID";"Date de modification";"Date de modification";;"string"
"CREATE";"Attribute";"date de suppression";"SID";"Date de suppression";"Date de suppression";;"string"
"CREATE";"Attribute";"date de mise en voie de suppression";"SID";"Date de mise en voie de suppression";"Date de mise en voie de suppression";;"string"
"CREATE";"Attribute";"code unite de vente";"SID";"Code de l'unite de vente";"Code de l'unite de vente";;"string"
"CREATE";"Attribute";"code unite de contenance";"SID";"Code de l'unite de contenance";"Code de l'unite de contenance";;"string"
"CREATE";"Attribute";"contenance";"SID";"Contenance";"Contenance";;"string"
"CREATE";"Attribute";"top marque propre LM";"SID";"top marque propre LM";"top marque propre LM";;"string"
"CREATE";"Attribute";"top marque non LM";"SID";"top marque non LM";"top marque non LM";;"string"
"CREATE";"Attribute";"top premier prix";"SID";"top premier prix";"top premier prix";;"string"
"CREATE";"Attribute";"top eco-emballage";"SID";"top eco-emballage";"top eco-emballage";;"string"
"CREATE";"Attribute";"top article en voie de suppression";"SID";"top article en voie de suppression";"top article en voie de suppression";;"string"
"CREATE";"Attribute";"top article supprime";"SID";"top article supprime";"top article supprime";;"string"
"CREATE";"Attribute";"top developpement durable";"SID";"top developpement durable";"top developpement durable";;"string"
"CREATE";"Attribute";"type d'article";"SID";"type d'article";"type d'article";;"string"
"CREATE";"Attribute";"masse nette";"SID";"masse nette";"masse nette";;"string"
"CREATE";"Attribute";"code unite associe a la masse";"SID";"code unite associe a la masse";"code unite associe a la masse";;"string"
"CREATE";"Attribute";"annee de collection";"SID";"annee de collection";"annee de collection";;"string"
"CREATE";"Attribute";"numero de marque propre";"SID";"numero de marque propre";"numero de marque propre";;"string"
"CREATE";"Attribute";"nombre de visuels gaia web";"SID";"nombre de visuels gaia web";"nombre de visuels gaia web";;"string"
"CREATE";"Attribute";"prix de vente";"SID";"prix de vente";"prix de vente";;"string"
"CREATE";"Attribute";"usage";"Interne";"Usage";"Usage";;"string"
"CREATE";"Attribute";"name";"Interne";"nom";"nom";;"string"
"CREATE";"Attribute";"displayName";"Interne";"nom d'affichage";"Nom d'affichage";;"string"
"CREATE";"Attribute";"shortDescription";"Interne";"description courte";"Description Courte";;"string"
"CREATE";"Attribute";"longDescription";"Interne";"description longue";"Description Longue";;"string"
"CREATE";"Attribute";"pictures";"Interne";"images";"Images";;"Image"
"CREATE";"Attribute";"contentLinks";"Interne";"Lien vers contenus";"Lien avec un ou plusieurs contenus";;"link"
"CREATE";"Attribute";"contentset";"Interne";"Lien vers contenus set";"Lien avec un ou plusieurs contenus set";;"link"
"CREATE";"Attribute";"criteriaLinks";"Interne";"Lien vers critere";"Lien avec un ou plusieurs critere";;"link"
"CREATE";"Attribute";"file";"Interne";"Fichier";"Fichier";;"string"
"CREATE";"Attribute";"urlImage";"Interne";"URL";"URL";;"string"
"CREATE";"Attribute";"distributor";"Interne";"Distributeur";"Distributeur";;"string"
"CREATE";"Attribute";"imageContent";"Interne";"Contenu de l'image";"Contenu de l'image en base 64";;"blob"
"CREATE";"Attribute";"code";"Interne";"Code";"Code";;"string"
"CREATE";"Attribute";"volume";"SITELABO";"Volume";"Volume";"LTR";"string"
"CREATE";"Attribute";"date_modifart";"SID";"Date de modification";"Date de modification";;"String"
"CREATE";"Attribute";"date_supart";"SID";"Date de suppression";"Date de suppression";;"String"
"CREATE";"Attribute";"cod_unitvte";"SID";"Code de l'unite de vente";"Code de l'unite de vente";;"String"
"CREATE";"Attribute";"cod_unitpds";"SID";"Code de l'unite de contenance";"Code de l'unite de contenance";;"String"
"CREATE";"Attribute";"top_marqlm";"SID";"top marque propre LM";"top marque propre LM";;"String"
"CREATE";"Attribute";"top_marqnonlm";"SID";"top marque non LM";"top marque non LM";;"String"
"CREATE";"Attribute";"top_prmprx";"SID";"top premier prix";"top premier prix";;"String"
"CREATE";"Attribute";"top_ecoemb";"SID";"top eco-emballage";"top eco-emballage";;"String"
"CREATE";"Attribute";"top_avs";"SID";"top article en voie de suppression";"top article en voie de suppression";;"String"
"CREATE";"Attribute";"top_supart";"SID";"top article supprime";"top article supprime";;"String"
